movieId,movieName,nbMentions,name,year
76620,The Shaggy Dog  (1959),1,The Shaggy Dog,1959
76627,No Good Deed  (2014),2,No Good Deed,2014
76636,Double Impact (1991),2,Double Impact,1991
76639,First Kill  (2017),1,First Kill,2017
76658,Torque  (2004),1,Torque,2004
76660,Batman: Revenge (2003),3,Batman: Revenge,2003
76706,The Incredible Hulk  (2008),35,The Incredible Hulk,2008
76724,Red Lines (2014),1,Red Lines,2014
76746,All the Pretty Horses  (2000),1,All the Pretty Horses,2000
76757,Pinocchio  (1940),2,Pinocchio,1940
76772,Ouija  (2015),7,Ouija,2015
76781,White Men Can't Jump (1992),6,White Men Can't Jump,1992
76802,Contagion  (2011),5,Contagion,2011
76825,Death of a Ghost Hunter (2007),1,Death of a Ghost Hunter,2007
76829,The Sweetest Thing (2002),9,The Sweetest Thing,2002
76845,Good Burger,2,Good Burger,0
76847,Police Story 2  (2007),1,Police Story 2,2007
76849,Veronica Mars  (2014),2,Veronica Mars,2014
76861,Project Almanac (2015),1,Project Almanac,2015
76887,One Piece Film: Strong World (2009),1,One Piece Film: Strong World,2009
76935,First Sunday (2008),2,First Sunday,2008
76940,Harry Potter and the Goblet of Fire  (2005),51,Harry Potter and the Goblet of Fire,2005
77043,Uptown Saturday Night (1974),2,Uptown Saturday Night,1974
77045,Christmas in Love (2004),1,Christmas in Love,2004
77066,Identity  (2003),45,Identity,2003
77115,Jack Reacher  (2012),31,Jack Reacher,2012
77128,Insidious ,8,Insidious,0
77136,Not Fade Away  (2012),3,Not Fade Away,2012
77140,The Living Daylights (1987),2,The Living Daylights,1987
77141,The Lovely Bones  (2009),10,The Lovely Bones,2009
77154,Flypaper  (2011),1,Flypaper,2011
77161,A Nightmare on Elm Street (1984),164,A Nightmare on Elm Street,1984
77176,Straight to Hell  (1987),1,Straight to Hell,1987
77190,Lethal Weapon 4 (1998),3,Lethal Weapon 4,1998
77195,Bee Movie (2007),8,Bee Movie,2007
77216,Beethoven's 2nd  (1993),1,Beethoven's 2nd,1993
77253,They Look Like People (2015),2,They Look Like People,2015
77267,Fighter in the Wind (2004),1,Fighter in the Wind,2004
77293,A Wrinkle in Time ,184,A Wrinkle in Time,0
77306,Oklahoma  (1979),4,Oklahoma,1979
77330,Cleopatra  (1970),1,Cleopatra,1970
77352,Harold and Maude (1971),1,Harold and Maude,1971
77358,Black Beauty  (1994),4,Black Beauty,1994
77363,Encino Man (1992),4,Encino Man,1992
77376,Full Metal Jacket (1987),45,Full Metal Jacket,1987
77384,American Pie Presents: Band Camp,1,American Pie Presents: Band Camp,0
77388,Shade  (2003),3,Shade,2003
77415,How the West Was Won  (1962),1,How the West Was Won,1962
77455,Citizen Kane (1941),30,Citizen Kane,1941
77478,Yes  (2004),2,Yes,2004
77485,Contract  (2008),1,Contract,2008
77521,Triangle  (2009),1,Triangle,2009
77542,Contact  (1997),10,Contact,1997
77552,"We, the Women (1953)",1,"We, the Women",1953
77576,The Librarians  (2001),1,The Librarians,2001
77597,Along Came Polly,17,Along Came Polly,0
77609,17 Again  (2009),5,17 Again,2009
77610,Sky High  (2003),2,Sky High,2003
77627,Abraham Lincoln: Vampire Hunter (2012),3,Abraham Lincoln: Vampire Hunter,2012
77628,Leprechaun  (1993),10,Leprechaun,1993
77636,Fred  (2014),1,Fred,2014
77651,Peter Pan  (2003),3,Peter Pan,2003
77666,The World's End  (2013),8,The World's End,2013
77670,Star Trek Into Darkness (2013),6,Star Trek Into Darkness,2013
77684,Indiana Jones and the Last Crusade (1989),25,Indiana Jones and the Last Crusade,1989
77693,Wolf Creek  (2005),2,Wolf Creek,2005
77696,The Heist  (2008),1,The Heist,2008
77697,White House Down (2013),25,White House Down,2013
77707,WALL-E (2008),73,WALL-E,2008
77737,The Humanoid (1979),2,The Humanoid,1979
77747,National Treasure ,2,National Treasure,0
77785,Ring 2 (1999),3,Ring 2,1999
77788,Clerks (1994),20,Clerks,1994
77793,Prom Night  (1980),4,Prom Night,1980
77798,A Perfect Murder (1998),9,A Perfect Murder,1998
77806,Stuck on You  (2003),3,Stuck on You,2003
77818,Live Free or Die  (2006),4,Live Free or Die,2006
77866,In Good Company  (2004),1,In Good Company,2004
77867,The Ring  (2017),10,The Ring,2017
77868,The Expendables ,3,The Expendables,0
77888,Four Sisters and a Wedding (2013),2,Four Sisters and a Wedding,2013
77894,Cars 3  (2009),1,Cars 3,2009
77898,Spy Game (2001),2,Spy Game,2001
77905,Fatal Bond (1992),1,Fatal Bond,1992
77910,Strange Wilderness (2008),1,Strange Wilderness,2008
77918,War Room  (2015),7,War Room,2015
77925,Ong-Bak: Muay Thai Warrior (2003),4,Ong-Bak: Muay Thai Warrior,2003
77945,Akira  (1988),14,Akira,1988
77946,A Low Down Dirty Shame (1994),1,A Low Down Dirty Shame,1994
77983,Black Mass  (2015),13,Black Mass,2015
77986,The First Power (1990),1,The First Power,1990
78010,Death Wish  (1974),9,Death Wish,1974
78019,Kagemusha (1980),7,Kagemusha,1980
78035,The Double Life of Veronique (1991),1,The Double Life of Veronique,1991
78058,Wish I Was Here (2014),1,Wish I Was Here,2014
78062,Robin Hood  (1991),2,Robin Hood,1991
78076,Ed Wood  (1994),1,Ed Wood,1994
78099,Wood Love (1925),1,Wood Love,1925
78108,Enemy  (2015),1,Enemy,2015
78132,Joe Dirt 2: Beautiful Loser (2015),5,Joe Dirt 2: Beautiful Loser,2015
78154,Chiko (2008),1,Chiko,2008
78168,Willy Wonka & the Chocolate Factory (1971),35,Willy Wonka & the Chocolate Factory,1971
78172,The Terminal (2004),11,The Terminal,2004
78186,Scary Movie (2000),98,Scary Movie,2000
78201,Texas Chainsaw 3D (2013),19,Texas Chainsaw 3D,2013
78207,Run Fatboy Run (2007),3,Run Fatboy Run,2007
78233,The Producers  (2005),3,The Producers,2005
78241,Halloweentown ,2,Halloweentown,0
78267,The Room  (2003),16,The Room,2003
78326,Billy Elliot (2000),1,Billy Elliot,2000
78340,Deadpool  (2016),447,Deadpool,2016
78343,The Ghost and the Darkness (1996),2,The Ghost and the Darkness,1996
78352,Burglar  (1987),1,Burglar,1987
78354,Soylent Green (1973),2,Soylent Green,1973
78361,Holy Water  (2009),1,Holy Water,2009
78373,Percy Jackson ,1,Percy Jackson,0
78399,Houseful  (2009),2,Houseful,2009
78418,The Avengers  (2012),443,The Avengers,2012
78426,Twisted  (2004),5,Twisted,2004
78436,Battlefield Earth  (2000),3,Battlefield Earth,2000
78445,Valentine  (2001),1,Valentine,2001
78453,Paprika  (2006),5,Paprika,2006
78475,Kingdom of Heaven  (2005),10,Kingdom of Heaven,2005
78479,Murder in the First  (1995),1,Murder in the First,1995
78480,The Green Mile  (1999),58,The Green Mile,1999
78491,Over the Top  (1987),3,Over the Top,1987
78504,Superman II (1980),4,Superman II,1980
78510,The Slammin' Salmon (2009),3,The Slammin' Salmon,2009
78531,The Return of the Pink Panther (1975),3,The Return of the Pink Panther,1975
78559,Much Ado About Nothing  (1993),3,Much Ado About Nothing,1993
78562,A Time to Kill  (1996),9,A Time to Kill,1996
78566,The Incredible Invasion (1971),1,The Incredible Invasion,1971
78634,The Host  (2013),13,The Host,2013
78639,Criminal  (2016),1,Criminal,2016
78644,Taxi  (2004),6,Taxi,2004
78664,Zeitgeist  (2007),1,Zeitgeist,2007
78665,Resolution  (2012),1,Resolution,2012
78670,They Live (1988),20,They Live,1988
78673,I Think I Love My Wife (2007),1,I Think I Love My Wife,2007
78719,Saturday Night Fever (1977),3,Saturday Night Fever,1977
78766,Snow White and the Seven Dwarfs  (1937),11,Snow White and the Seven Dwarfs,1937
78779,Not Another Happy Ending (2013),15,Not Another Happy Ending,2013
78799,The In-Laws  (1979),1,The In-Laws,1979
78801,The Spy Next Door (2010),16,The Spy Next Door,2010
78804,The Shaggy Dog  (2006),4,The Shaggy Dog,2006
78807,Paparazzi  (2004),2,Paparazzi,2004
78824,Psycho  (2008),2,Psycho,2008
78854,Looney Tunes Super Stars' Bugs Bunny: Wascally Wabbit,1,Looney Tunes Super Stars' Bugs Bunny: Wascally Wabbit,0
78869,Mom and Dad Save the World (1992),1,Mom and Dad Save the World,1992
78874,Click  (2006),136,Click,2006
78887,Saw VI (2009),2,Saw VI,2009
78888,Eraser  (1996),7,Eraser,1996
78925,Dusk to Dawn (1922),1,Dusk to Dawn,1922
78926,Once Upon a Time in the West (1968),1,Once Upon a Time in the West,1968
78929,The Adventures of Pinocchio  (1996),1,The Adventures of Pinocchio,1996
78943,Man-Proof (1938),1,Man-Proof,1938
78950,It's a Free World... (2007),1,It's a Free World...,2007
78958,Norbit (2007),16,Norbit,2007
78977,The Haunting  (1999),10,The Haunting,1999
79001,Outland  (1981),4,Outland,1981
79045,Thelma ,4,Thelma,0
79062,Alien  (1979),134,Alien,1979
79072,Bullets over Broadway (1994),1,Bullets over Broadway,1994
79106,Raging Bull (1980),10,Raging Bull,1980
79114,Uprising  (2001),1,Uprising,2001
79136,Dances with Wolves (1990),26,Dances with Wolves,1990
79142,For a Few Dollars More (1965),3,For a Few Dollars More,1965
79153,Oz the Great and Powerful (2013),6,Oz the Great and Powerful,2013
79187,Giant  (1956),1,Giant,1956
79205,The Wild Geese (1978),2,The Wild Geese,1978
79206,May  (2002),5,May,2002
79266,Absolutely Anything (2015),14,Absolutely Anything,2015
79278,West Side Story  (1961),44,West Side Story,1961
79284,Bitter Harvest  (2016),1,Bitter Harvest,2016
79289,The Parent Trap  (1961),12,The Parent Trap,1961
79313,Open Season  (2006),1,Open Season,2006
79320,Contact  (2009),14,Contact,2009
79341,The Other Sister (1999),3,The Other Sister,1999
79370,"The Way, Way Back (2013)",1,"The Way, Way Back",2013
79379,Chicken Little  (2005),2,Chicken Little,2005
79385,Night of the Living Dead (1968),31,Night of the Living Dead,1968
79401,Anatomy of a Murder (1959),2,Anatomy of a Murder,1959
79407,Mortal Kombat: Rebirth (2010),2,Mortal Kombat: Rebirth,2010
79408,Kubo and the Two Strings (2016),25,Kubo and the Two Strings,2016
79421,Machete Kills (2013),2,Machete Kills,2013
79429,Cannibal! The Musical (1993),3,Cannibal! The Musical,1993
79439,Wild Thing  (1987),1,Wild Thing,1987
79451,Predator ,5,Predator,0
79464,The Tree of Life  (2011),1,The Tree of Life,2011
79468,Dragnet  (1987),2,Dragnet,1987
79512,Monster House  (2006),1,Monster House,2006
79543,Air Bud (1997),26,Air Bud,1997
79553,The Disappearance of McKinley Nolan (2010),1,The Disappearance of McKinley Nolan,2010
79665,Drag Me to Hell (2009),10,Drag Me to Hell,2009
79689,"Greystoke: The Legend of Tarzan, Lord of the Apes (1984)",1,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984
79698,The Hurt Locker (2008),37,The Hurt Locker,2008
79707,Fat Albert  (2004),2,Fat Albert,2004
79743,The Last Boy Scout (1991),13,The Last Boy Scout,1991
79750,China  (2016),1,China,2016
79752,8 Heads in a Duffel Bag (1997),17,8 Heads in a Duffel Bag,1997
79755,Bully  (2001),1,Bully,2001
79779,Gran Torino (2008),29,Gran Torino,2008
79811,Homeward Bound II: Lost in San Francisco (1996),7,Homeward Bound II: Lost in San Francisco,1996
79815,We're Back! A Dinosaur's Story  (1993),1,We're Back! A Dinosaur's Story,1993
79824,The Divergent Series: Insurgent (2015),9,The Divergent Series: Insurgent,2015
79834,The Skeleton Key (2005),12,The Skeleton Key,2005
79851,The Mask (1988),31,The Mask,1988
79856,The Time Machine  (2002),2,The Time Machine,2002
79863,The Bible: In the Beginning... (1966),1,The Bible: In the Beginning...,1966
79888,Puncture  (2011),1,Puncture,2011
79894,The Debt  (2010),2,The Debt,2010
79924,The Gladiator  (1986),4,The Gladiator,1986
79935,Fifty Shades of Grey  (2015),54,Fifty Shades of Grey,2015
79945,Deranged  (1974),1,Deranged,1974
79954,A Christmas Carol  (2009),2,A Christmas Carol,2009
79968,Split (2017),138,Split,2017
79978,Bully  (2011),1,Bully,2011
79989,Cinderella  (1994),4,Cinderella,1994
80009,The Amazing Spider-Man 2 (2014),3,The Amazing Spider-Man 2,2014
80014,Maverick  (1994),4,Maverick,1994
80024,War of the Buttons  (2011),1,War of the Buttons,2011
80038,Lady in White (1988),1,Lady in White,1988
80067,Toy Story (1995),180,Toy Story,1995
80074,Home for Christmas  (2010),1,Home for Christmas,2010
80108,Can't Hardly Wait,11,Can't Hardly Wait,0
80131,Omen  (2003),3,Omen,2003
80133,Project A (1983),2,Project A,1983
80178,Boy Wonder  (2010),1,Boy Wonder,2010
80188,Planes: Fire & Rescue (2014),1,Planes: Fire & Rescue,2014
80203,Boat Trip  (2002),1,Boat Trip,2002
80208,The Devil Wears Prada  (2006),38,The Devil Wears Prada,2006
80213,A Serious Man (2009),1,A Serious Man,2009
80235,Jennifer's Body (2009),1,Jennifer's Body,2009
80240,Annie  (1982),16,Annie,1982
80264,Zinda  (2006),3,Zinda,2006
80284,The Lion King II: Simba's Pride (1998),2,The Lion King II: Simba's Pride,1998
80289,Die ,1,Die,0
80306,The Creeper  (1948),1,The Creeper,1948
80325,Mission: Impossible ,28,Mission: Impossible,0
80336,Annie  (2014),7,Annie,2014
80429,Under the Shadow (2016),1,Under the Shadow,2016
80442,Jaws in Japan (2009),1,Jaws in Japan,2009
80446,F  (2010),2,F,2010
80448,Friday After Next (2002),6,Friday After Next,2002
80519,A Simple Plan  (1998),2,A Simple Plan,1998
80534,I Am Really Sorry (1976),1,I Am Really Sorry,1976
80576,Dragonball Evolution (2009),1,Dragonball Evolution,2009
80587,The Handmaiden (2016),2,The Handmaiden,2016
80598,All's Faire in Love (2009),2,All's Faire in Love,2009
80603,Godzilla: Tokyo S.O.S. (2003),1,Godzilla: Tokyo S.O.S.,2003
80649,Moses  (1995),1,Moses,1995
80683,The Cat and the Kit (1925),1,The Cat and the Kit,1925
80685,Sister Act (1992),8,Sister Act,1992
80691,Wild  (2016),8,Wild,2016
80699,Anaconda  (1997),9,Anaconda,1997
80716,Next of Kin  (1989),3,Next of Kin,1989
80769,Boiler Room  (2000),1,Boiler Room,2000
80811,Vengeance  (1968),1,Vengeance,1968
80865,Early Man ,15,Early Man,0
80886,"Good Morning, Vietnam (1987)",15,"Good Morning, Vietnam",1987
80918,The Cave  (2005),4,The Cave,2005
80966,Night Falls on Manhattan (1997),1,Night Falls on Manhattan,1997
80981,The Great Beauty (2013),4,The Great Beauty,2013
80985,Boo! A Madea Halloween (2016),12,Boo! A Madea Halloween,2016
81006,Police Academy ,1,Police Academy,0
81024,Third Man on the Mountain (1959),1,Third Man on the Mountain,1959
81075,We're the Millers (2013),44,We're the Millers,2013
81078,Cube 2: Hypercube (2002),1,Cube 2: Hypercube,2002
81080,How to Train Your Dragon 2 (2014),6,How to Train Your Dragon 2,2014
81087,Holidays  (2016),1,Holidays,2016
81108,X (1986),1,X,1986
81135,It Comes at Night (2017),52,It Comes at Night,2017
81162,Friday  (1995),71,Friday,1995
81165,Date with an Angel (1987),4,Date with an Angel,1987
81196,The Pacifist  (1970),1,The Pacifist,1970
81209,Freebie and the Bean (1974),2,Freebie and the Bean,1974
81232,Religulous (2008),3,Religulous,2008
81234,S (2012),12,S,2012
81265,Them! (1954),3,Them!,1954
81296,Movie 43 (2013),2,Movie 43,2013
81307,Haunted Rooh (2016),1,Haunted Rooh,2016
81316,Johnny Be Good (1988),3,Johnny Be Good,1988
81317,Waiting for Forever (2010),1,Waiting for Forever,2010
81353,Once Upon a Time in China ,1,Once Upon a Time in China,0
81385,Fargo  (1996),71,Fargo,1996
81415,The Mission  (1986),3,The Mission,1986
81416,The Man in the Moon (1991),1,The Man in the Moon,1991
81432,A Serbian Film (2010),1,A Serbian Film,2010
81468,Annie  (1976),4,Annie,1976
81469,The Rise of the Krays (2015),2,The Rise of the Krays,2015
81474,Captain Corelli's Mandolin  (2001),3,Captain Corelli's Mandolin,2001
81475,Triangle  (2009),3,Triangle,2009
81492,Dinosaur  (2000),10,Dinosaur,2000
81530,Black Beauty  (1971),1,Black Beauty,1971
81559,Lego Marvel Super Heroes: Maximum Overload (2013),1,Lego Marvel Super Heroes: Maximum Overload,2013
81563,Batman Returns (1992),2,Batman Returns,1992
81568,Flight  (2012),1,Flight,2012
81617,The Purple Rose of Cairo (1985),3,The Purple Rose of Cairo,1985
81625,Expelled from Paradise,1,Expelled from Paradise,0
81660,13 Going on 30 (2004),40,13 Going on 30,2004
81669,Life  (2007),3,Life,2007
81702,Hall Pass,8,Hall Pass,0
81715,The Importance of Being Earnest  (2002),1,The Importance of Being Earnest,2002
81748,"Red Firecracker, Green Firecracker (1994)",1,"Red Firecracker, Green Firecracker",1994
81775,Never Say Die  (1939),2,Never Say Die,1939
81792,Zootopia,151,Zootopia,0
81805,Filth  (2013),1,Filth,2013
81819,Monster  (2008),5,Monster,2008
81860,Spirited Away,33,Spirited Away,0
81865,The Treasure of the Sierra Madre  (1948),2,The Treasure of the Sierra Madre,1948
81878,A Quiet Place to Kill (1970),1,A Quiet Place to Kill,1970
81881,Écoute voir (1979),1,Écoute voir,1979
81898,The Magnificent Nine,1,The Magnificent Nine,0
81916,Son of Flubber (1963),1,Son of Flubber,1963
81919,Miss You Already (2015),1,Miss You Already,2015
81968,Rocky Balboa  (2006),1,Rocky Balboa,2006
82001,The Prophecy (1995),2,The Prophecy,1995
82020,The Killer Inside Me  (2010),4,The Killer Inside Me,2010
82022,Perfume  (2001),1,Perfume,2001
82029,Ruby Sparks (2012),2,Ruby Sparks,2012
82041,Prancer  (1989),1,Prancer,1989
82075,Cyborg X,2,Cyborg X,0
82087,Last Days in Vietnam (2014),3,Last Days in Vietnam,2014
82145,How to Steal a Million (1966),1,How to Steal a Million,1966
82153,Super Size Me (2004),28,Super Size Me,2004
82201,Julia's Eyes (2010),1,Julia's Eyes,2010
82233,Top Secret! (1984),1,Top Secret!,1984
82284,The Client  (1994),7,The Client,1994
82321,The Maltese Falcon  (1941),8,The Maltese Falcon,1941
82330,Wallace & Gromit: The Curse of the Were-Rabbit (2005),6,Wallace & Gromit: The Curse of the Were-Rabbit,2005
82346,Into Temptation  (2009),1,Into Temptation,2009
82353,Memories of Murder (2003),1,Memories of Murder,2003
82380,The Hidden  (1987),1,The Hidden,1987
82417,Wall Street  (1987),14,Wall Street,1987
82419,The French Connection  (1971),12,The French Connection,1971
82421,Coming Home  (1978),1,Coming Home,1978
82430,Devil's Knot  (2013),1,Devil's Knot,2013
82446,Something Wicked This Way Comes  (1983),1,Something Wicked This Way Comes,1983
82467,New Jersey Drive (1995),1,New Jersey Drive,1995
82473,The Haunting in Connecticut (2009),13,The Haunting in Connecticut,2009
82476,What's Eating Gilbert Grape (1993),20,What's Eating Gilbert Grape,1993
82484,Jacob and Esau ,1,Jacob and Esau,0
82497,MASH  (1970),8,MASH,1970
82536,Anonymous  (2011),1,Anonymous,2011
82537,Conviction  (2010),2,Conviction,2010
82567,Hardcore Henry (2015),12,Hardcore Henry,2015
82569,The Wild Bunch (1969),3,The Wild Bunch,1969
82596,Psycho  (1998),2,Psycho,1998
82602,The Goonies (1985),99,The Goonies,1985
82631,My Super Ex-Girlfriend,2,My Super Ex-Girlfriend,0
82641,The Equalizer  (2014),22,The Equalizer,2014
82650,Waco: A New Revelation (1999),5,Waco: A New Revelation,1999
82657,Into the Blue  (2005),1,Into the Blue,2005
82756,Stuart Little  (1999),5,Stuart Little,1999
82763,Death Race  (2008),20,Death Race,2008
82766,The Star of Santa Clara (1958),1,The Star of Santa Clara,1958
82775,When We First Met,8,When We First Met,0
82795,A Perfect World (1993),3,A Perfect World,1993
82808,Diary of a Wimpy Kid ,1,Diary of a Wimpy Kid,0
82830,Miles Ahead  (2015),1,Miles Ahead,2015
82857,The Last Unicorn  (1982),3,The Last Unicorn,1982
82858,Cannibal  (2006),3,Cannibal,2006
82871,Day of the Dead  (1985),1,Day of the Dead,1985
82876,Sex and the City 2 (2010),2,Sex and the City 2,2010
82893,Cabin in the Sky  (1943),1,Cabin in the Sky,1943
82894,Frozen (2013),220,Frozen,2013
82923,Minions  (2015),53,Minions,2015
82955,Heist  (2015),4,Heist,2015
82969,The Bear  (1988),1,The Bear,1988
82990,The Overnight (2015),2,The Overnight,2015
83006,Day Watch  (2006),3,Day Watch,2006
83057,Scream 4 (2011),8,Scream 4,2011
83101,Free Fire (2016),2,Free Fire,2016
83105,The Neon Demon (2016),4,The Neon Demon,2016
83116,Can-Can  (1960),1,Can-Can,1960
83132,Final Destination 5 (2011),3,Final Destination 5,2011
83180,Acts of Worship  (2001),1,Acts of Worship,2001
83192,What Lies Beneath (2000),25,What Lies Beneath,2000
83236,Ninja Scroll (1993),3,Ninja Scroll,1993
83243,The House  (1983),1,The House,1983
83274,It Could Happen to You  (1994),1,It Could Happen to You,1994
83305,Haunted House  (2004),6,Haunted House,2004
83321,Jump  (1999),2,Jump,1999
83343,The 10th Kingdom,2,The 10th Kingdom,0
83370,The Ruling Class  (1972),2,The Ruling Class,1972
83388,Sleeping Beauty  (1959),4,Sleeping Beauty,1959
83389,Ricochet  (1991),1,Ricochet,1991
83396,Thief  (1981),3,Thief,1981
83406,The Purge: Election Year (2016),14,The Purge: Election Year,2016
83430,Buffy the Vampire Slayer  (1992),5,Buffy the Vampire Slayer,1992
83436,The Thing  (2011),3,The Thing,2011
83451,All About My Mother (1999),1,All About My Mother,1999
83472,A Walk to Remember (2002),109,A Walk to Remember,2002
83489,Over the Edge  (1979),1,Over the Edge,1979
83539,The Bourne Identity  (1988),8,The Bourne Identity,1988
83552,Jumanji  (2017),731,Jumanji,2017
83570,Night of Dark Shadows (1971),1,Night of Dark Shadows,1971
83582,Starcrash (1979),1,Starcrash,1979
83586,The Amityville Horror  (1979),25,The Amityville Horror,1979
83617,Kevin Hart: Let Me Explain (2013),2,Kevin Hart: Let Me Explain,2013
83624,Harry and the Hendersons (1987),8,Harry and the Hendersons,1987
83655,Table 19 (2017),1,Table 19,2017
83675,The New Swiss Family Robinson (1998),1,The New Swiss Family Robinson,1998
83716,Bananas  (1971),1,Bananas,1971
83749,Five Shaolin Masters (1974),2,Five Shaolin Masters,1974
83757,Mr. Holland's Opus (1995),3,Mr. Holland's Opus,1995
83766,Primal Fear  (1996),27,Primal Fear,1996
83775,Showboy (2002),1,Showboy,2002
83789,Ella Enchanted  (2004),14,Ella Enchanted,2004
83790,Europa Report (2013),3,Europa Report,2013
83814,True Grit  (2010),23,True Grit,2010
83853,Spanglish  (2004),13,Spanglish,2004
83896,My Big Love (2008),1,My Big Love,2008
83905,The Central Park Five (2012),1,The Central Park Five,2012
83947,Strange Circus (2005),1,Strange Circus,2005
83948,Hancock  (2008),31,Hancock,2008
83951,Steel Magnolias  (2012),7,Steel Magnolias,2012
83976,The Magnificent Seven (1960),5,The Magnificent Seven,1960
84001,Donnie Darko (2001),43,Donnie Darko,2001
84003,127 Hours (2010),12,127 Hours,2010
84007,Castaway  (1986),23,Castaway,1986
84009,Speed Racer  (2008),1,Speed Racer,2008
84026,Sleeping Beauty  (1995),1,Sleeping Beauty,1995
84028,The Man Who Knew Too Much  (1956),3,The Man Who Knew Too Much,1956
84036,Hannibal  (1959),3,Hannibal,1959
84097,Charlotte's Web  (2006),8,Charlotte's Web,2006
84100,Tank  (1984),1,Tank,1984
84153,Slap Shot  (1977),5,Slap Shot,1977
84195,Cloverfield ,3,Cloverfield,0
84201,Hiding Out (1987),1,Hiding Out,1987
84248,The City of Lost Children (1995),2,The City of Lost Children,1995
84269,Houseguest (1995),1,Houseguest,1995
84273,Pineapple Express  (2008),182,Pineapple Express,2008
84310,Justice League: Gods and Monsters (2015),1,Justice League: Gods and Monsters,2015
84332,The Wizard  (1989),2,The Wizard,1989
84339,Instructions Not Included (2013),1,Instructions Not Included,2013
84363,Paranormal Activity 2 (2010),9,Paranormal Activity 2,2010
84379,Mickey's Magical Christmas: Snowed in at the House of Mouse,3,Mickey's Magical Christmas: Snowed in at the House of Mouse,0
84387,Before I Fall  (2017),3,Before I Fall,2017
84411,Tunisian Victory,1,Tunisian Victory,0
84422,Ghost Rider  (2007),6,Ghost Rider,2007
84434,Heaven & Earth  (1993),1,Heaven & Earth,1993
84436,Godfather  (2007),1,Godfather,2007
84456,Girlfight (2000),2,Girlfight,2000
84473,Diva  (1981),1,Diva,1981
84488,First Kill (2001),3,First Kill,2001
84517,The Long Voyage Home (1940),1,The Long Voyage Home,1940
84524,Smiley  (2012),1,Smiley,2012
84553,Fist of Fury ,1,Fist of Fury,0
84561,Swimfan (2002),2,Swimfan,2002
84571,The Human Centipede 3  (2015),1,The Human Centipede 3,2015
84597,Alien 2: On Earth (1980),1,Alien 2: On Earth,1980
84704,The Wedding Game (2009),1,The Wedding Game,2009
84710,Jobs  (2013),3,Jobs,2013
84766,Flatliners  (2017),9,Flatliners,2017
84769,Birdman  (2014),14,Birdman,2014
84772,Solitary Man  (2009),1,Solitary Man,2009
84779,The Triplets of Belleville (2003),1,The Triplets of Belleville,2003
84788,Manos: The Hands of Fate (1966),2,Manos: The Hands of Fate,1966
84798,Pretty Woman (1990),228,Pretty Woman,1990
